ID,Sn,Sp,Accuracy,MCC,ROC-AUC,K,Details
1,81.53426318981201,93.7942187184152,90.72922983626441,75.29047179446596,87.66424095411361,75.2904333771088,StratifiedKFold 10 Fold and 100 Trees.
2,82.0194057004245,93.86496866787952,90.90357792601577,75.77745236821303,87.942187184152,75.7771497779572,StratifiedKFold 10 Fold and 200 Trees.
3,81.77683444511825,93.73357590458863,90.74439053972104,75.36623516779673,87.75520517485344,75.36568142842732,StratifiedKFold 10 Fold and 300 Trees.
4,82.0194057004245,93.66282595512432,90.75197089144936,75.4248151580369,87.8411158277744,75.42304593070105,StratifiedKFold 10 Fold and 400 Trees.
5,82.14069132807762,93.78411158277744,90.87325651910248,75.72684686565393,87.96240145542752,75.72580645161291,StratifiedKFold 10 Fold and 500 Trees.
6,82.71679805942995,93.7942187184152,91.0248635536689,76.1752545432267,88.25550838892258,76.17226806198431,StratifiedKFold 10 Fold and 600 Trees.
7,82.0194057004245,93.80432585405296,90.85809581564584,75.67138453188845,87.91186577723873,75.6707686100464,StratifiedKFold 10 Fold and 700 Trees.
8,82.3226197695573,93.73357590458863,90.8808368708308,75.77493622169943,88.02809783707298,75.77283254455745,StratifiedKFold 10 Fold and 800 Trees.
9,82.53486961795026,93.76389731150192,90.95664038811401,75.98648356652076,88.1493834647261,75.98389531957726,StratifiedKFold 10 Fold and 900 Trees.
10,82.29229836264402,93.6426116838488,90.8050333535476,75.59420506954574,87.96745502324642,75.59110574504477,StratifiedKFold 10 Fold and 1000 Trees.
11,82.41358399029714,93.75379017586415,90.9187386294724,75.87817800781505,88.08368708308065,75.87595650422875,StratifiedKFold 10 Fold and 1100 Trees.
12,82.62583383869011,93.6426116838488,90.88841722255913,75.84400099637139,88.13422276126946,75.8391959798995,StratifiedKFold 10 Fold and 1200 Trees.
13,82.59551243177683,93.6426116838488,90.8808368708308,75.82129947142461,88.11906205781281,75.81666499145643,StratifiedKFold 10 Fold and 1300 Trees.
14,82.38326258338387,93.70325449767536,90.87325651910248,75.76760300625931,88.0432585405296,75.76489533011272,StratifiedKFold 10 Fold and 1400 Trees.
15,82.83808368708308,93.73357590458863,91.00970285021225,76.16049962743841,88.28582979583587,76.15601125854442,StratifiedKFold 10 Fold and 1500 Trees.
16,82.41358399029714,93.78411158277744,90.94147968465737,75.93098361871665,88.09884778653729,75.92909658575888,StratifiedKFold 10 Fold and 1600 Trees.
17,82.4742268041237,93.68304022639984,90.8808368708308,75.80059231573628,88.07863351526177,75.79720350065386,StratifiedKFold 10 Fold and 1700 Trees.
18,82.29229836264402,93.63250454821103,90.79745300181928,75.57667784727194,87.96240145542752,75.57344064386318,StratifiedKFold 10 Fold and 1800 Trees.
19,82.38326258338387,93.72346876895088,90.88841722255913,75.80273992668843,88.05336567616737,75.80028186027783,StratifiedKFold 10 Fold and 1900 Trees.
20,82.1710127349909,93.65271881948655,90.78229229836265,75.52087050863435,87.91186577723873,75.51842158244413,StratifiedKFold 10 Fold and 2000 Trees.
21,82.50454821103699,93.62239741257328,90.84293511218921,75.71817360003512,88.06347281180513,75.71371129875352,StratifiedKFold 10 Fold and 2100 Trees.
22,82.1710127349909,93.71336163331311,90.82777440873257,75.62627032672825,87.942187184152,75.62449637389203,StratifiedKFold 10 Fold and 2200 Trees.
23,82.29229836264402,93.70325449767536,90.85051546391753,75.69950503107913,87.99777643015969,75.69717104600826,StratifiedKFold 10 Fold and 2300 Trees.
24,82.3226197695573,93.7436830402264,90.88841722255913,75.79252609971499,88.03315140489185,75.79053373615308,StratifiedKFold 10 Fold and 2400 Trees.
25,82.53486961795026,93.61229027693551,90.84293511218921,75.72339034013544,88.0735799474429,75.71859296482413,StratifiedKFold 10 Fold and 2500 Trees.
26,82.59551243177683,93.6426116838488,90.8808368708308,75.82129947142461,88.11906205781281,75.81666499145643,StratifiedKFold 10 Fold and 2600 Trees.
27,82.41358399029714,93.68304022639984,90.86567616737416,75.75519366013708,88.0483121083485,75.75208773518463,StratifiedKFold 10 Fold and 2700 Trees.
28,82.35294117647058,93.68304022639984,90.85051546391753,75.70978922311018,88.01799070143521,75.70695380899667,StratifiedKFold 10 Fold and 2800 Trees.
29,82.41358399029714,93.69314736203759,90.87325651910248,75.77274329068653,88.05336567616737,75.76977259005837,StratifiedKFold 10 Fold and 2900 Trees.
30,82.20133414190418,93.68304022639984,90.81261370527592,75.5962527179771,87.942187184152,75.59403946838502,StratifiedKFold 10 Fold and 3000 Trees.
ID,Sn,Sp,Accuracy,MCC,ROC-AUC,K,Details
ID,Sn,Sp,Accuracy,MCC,ROC-AUC,K,Details
ID,Sn,Sp,Accuracy,MCC,ROC-AUC,K,Details
ID,Sn,Sp,Accuracy,MCC,ROC-AUC,K,Details
